id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_usaha,satuan,tahun,jenis_jasa
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,0,UNIT,2014,jasa informasi
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,0,UNIT,2014,jasa konsultan pariwisata
27,32,JAWA BARAT,3201,KABUPATEN BOGOR,0,UNIT,2015,jasa informasi
27,32,JAWA BARAT,3201,KABUPATEN BOGOR,0,UNIT,2015,jasa konsultan pariwisata
54,32,JAWA BARAT,3201,KABUPATEN BOGOR,0,UNIT,2016,jasa informasi
54,32,JAWA BARAT,3201,KABUPATEN BOGOR,0,UNIT,2016,jasa konsultan pariwisata
81,32,JAWA BARAT,3201,KABUPATEN BOGOR,1,UNIT,2017,jasa informasi
81,32,JAWA BARAT,3201,KABUPATEN BOGOR,90,UNIT,2017,jasa konsultan pariwisata
108,32,JAWA BARAT,3201,KABUPATEN BOGOR,0,UNIT,2018,jasa informasi
108,32,JAWA BARAT,3201,KABUPATEN BOGOR,0,UNIT,2018,jasa konsultan pariwisata
135,32,JAWA BARAT,3201,KABUPATEN BOGOR,0,UNIT,2019,jasa informasi
135,32,JAWA BARAT,3201,KABUPATEN BOGOR,0,UNIT,2019,jasa konsultan pariwisata
165,32,JAWA BARAT,3201,KABUPATEN BOGOR,0,UNIT,2020,jasa informasi
162,32,JAWA BARAT,3201,KABUPATEN BOGOR,0,UNIT,2020,jasa konsultan pariwisata
189,32,JAWA BARAT,3201,KABUPATEN BOGOR,0,UNIT,2021,jasa informasi
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0,UNIT,2014,jasa informasi
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0,UNIT,2014,jasa konsultan pariwisata
28,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0,UNIT,2015,jasa informasi
28,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0,UNIT,2015,jasa konsultan pariwisata
55,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0,UNIT,2016,jasa informasi
55,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0,UNIT,2016,jasa konsultan pariwisata
82,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0,UNIT,2017,jasa informasi
82,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0,UNIT,2017,jasa konsultan pariwisata
109,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0,UNIT,2018,jasa informasi
109,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0,UNIT,2018,jasa konsultan pariwisata
136,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0,UNIT,2019,jasa informasi
136,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0,UNIT,2019,jasa konsultan pariwisata
177,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0,UNIT,2020,jasa informasi
163,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0,UNIT,2020,jasa konsultan pariwisata
190,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0,UNIT,2021,jasa informasi
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,UNIT,2014,jasa informasi
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,UNIT,2014,jasa konsultan pariwisata
29,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,UNIT,2015,jasa informasi
29,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,UNIT,2015,jasa konsultan pariwisata
56,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1,UNIT,2016,jasa informasi
56,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1,UNIT,2016,jasa konsultan pariwisata
83,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1,UNIT,2017,jasa informasi
83,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1,UNIT,2017,jasa konsultan pariwisata
110,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,UNIT,2018,jasa informasi
110,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,UNIT,2018,jasa konsultan pariwisata
137,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,UNIT,2019,jasa informasi
137,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,UNIT,2019,jasa konsultan pariwisata
167,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,UNIT,2020,jasa informasi
164,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,UNIT,2020,jasa konsultan pariwisata
191,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,UNIT,2021,jasa informasi
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,UNIT,2014,jasa informasi
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,UNIT,2014,jasa konsultan pariwisata
30,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,UNIT,2015,jasa informasi
30,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,UNIT,2015,jasa konsultan pariwisata
57,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,UNIT,2016,jasa informasi
57,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,UNIT,2016,jasa konsultan pariwisata
84,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,UNIT,2017,jasa informasi
84,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,UNIT,2017,jasa konsultan pariwisata
111,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,UNIT,2018,jasa informasi
111,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,UNIT,2018,jasa konsultan pariwisata
138,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,UNIT,2019,jasa informasi
138,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,UNIT,2019,jasa konsultan pariwisata
162,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,UNIT,2020,jasa informasi
165,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,UNIT,2020,jasa konsultan pariwisata
192,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,UNIT,2021,jasa informasi
5,32,JAWA BARAT,3205,KABUPATEN GARUT,0,UNIT,2014,jasa informasi
5,32,JAWA BARAT,3205,KABUPATEN GARUT,0,UNIT,2014,jasa konsultan pariwisata
31,32,JAWA BARAT,3205,KABUPATEN GARUT,0,UNIT,2015,jasa informasi
31,32,JAWA BARAT,3205,KABUPATEN GARUT,0,UNIT,2015,jasa konsultan pariwisata
58,32,JAWA BARAT,3205,KABUPATEN GARUT,0,UNIT,2016,jasa informasi
58,32,JAWA BARAT,3205,KABUPATEN GARUT,0,UNIT,2016,jasa konsultan pariwisata
85,32,JAWA BARAT,3205,KABUPATEN GARUT,0,UNIT,2017,jasa informasi
85,32,JAWA BARAT,3205,KABUPATEN GARUT,0,UNIT,2017,jasa konsultan pariwisata
112,32,JAWA BARAT,3205,KABUPATEN GARUT,0,UNIT,2018,jasa informasi
112,32,JAWA BARAT,3205,KABUPATEN GARUT,0,UNIT,2018,jasa konsultan pariwisata
139,32,JAWA BARAT,3205,KABUPATEN GARUT,0,UNIT,2019,jasa informasi
139,32,JAWA BARAT,3205,KABUPATEN GARUT,3,UNIT,2019,jasa konsultan pariwisata
169,32,JAWA BARAT,3205,KABUPATEN GARUT,0,UNIT,2020,jasa informasi
