id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_wisatawan,jumlah_pengunjung,satuan,tahun
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,NUSANTARA,4075198,ORANG,2014
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,MANCANEGARA,54927,ORANG,2014
54,32,JAWA BARAT,3201,KABUPATEN BOGOR,NUSANTARA,4092150,ORANG,2015
53,32,JAWA BARAT,3201,KABUPATEN BOGOR,MANCANEGARA,228913,ORANG,2015
108,32,JAWA BARAT,3201,KABUPATEN BOGOR,NUSANTARA,4955079,ORANG,2016
107,32,JAWA BARAT,3201,KABUPATEN BOGOR,MANCANEGARA,228913,ORANG,2016
162,32,JAWA BARAT,3201,KABUPATEN BOGOR,NUSANTARA,4411967,ORANG,2017
161,32,JAWA BARAT,3201,KABUPATEN BOGOR,MANCANEGARA,677858,ORANG,2017
215,32,JAWA BARAT,3201,KABUPATEN BOGOR,NUSANTARA,4411967,ORANG,2018
243,32,JAWA BARAT,3201,KABUPATEN BOGOR,NUSANTARA,2670203,ORANG,2019
242,32,JAWA BARAT,3201,KABUPATEN BOGOR,MANCANEGARA,26264,ORANG,2019
297,32,JAWA BARAT,3201,KABUPATEN BOGOR,NUSANTARA,28367,ORANG,2020
296,32,JAWA BARAT,3201,KABUPATEN BOGOR,MANCANEGARA,0,ORANG,2020
351,32,JAWA BARAT,3201,KABUPATEN BOGOR,NUSANTARA,1762279,ORANG,2021
350,32,JAWA BARAT,3201,KABUPATEN BOGOR,MANCANEGARA,2609,ORANG,2021
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NUSANTARA,2031979,ORANG,2014
3,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MANCANEGARA,49985,ORANG,2014
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NUSANTARA,2031979,ORANG,2015
55,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MANCANEGARA,49985,ORANG,2015
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NUSANTARA,2031979,ORANG,2016
109,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MANCANEGARA,49985,ORANG,2016
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NUSANTARA,2167288,ORANG,2017
163,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MANCANEGARA,14008,ORANG,2017
216,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NUSANTARA,2172706,ORANG,2018
245,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NUSANTARA,153733,ORANG,2019
244,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MANCANEGARA,10500,ORANG,2019
299,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NUSANTARA,738782,ORANG,2020
298,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MANCANEGARA,586,ORANG,2020
353,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NUSANTARA,565545,ORANG,2021
352,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MANCANEGARA,277,ORANG,2021
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NUSANTARA,292919,ORANG,2014
5,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MANCANEGARA,7824,ORANG,2014
58,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NUSANTARA,771,ORANG,2015
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MANCANEGARA,636,ORANG,2015
112,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NUSANTARA,212095,ORANG,2016
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MANCANEGARA,12100,ORANG,2016
166,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NUSANTARA,3614683,ORANG,2017
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MANCANEGARA,287190,ORANG,2017
217,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NUSANTARA,8559255,ORANG,2018
247,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NUSANTARA,4312047,ORANG,2019
246,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MANCANEGARA,172140,ORANG,2019
301,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NUSANTARA,1041740,ORANG,2020
300,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MANCANEGARA,29461,ORANG,2020
355,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NUSANTARA,1046751,ORANG,2021
354,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MANCANEGARA,44,ORANG,2021
8,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NUSANTARA,5583468,ORANG,2014
7,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MANCANEGARA,62101,ORANG,2014
60,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NUSANTARA,5583468,ORANG,2015
59,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MANCANEGARA,62101,ORANG,2015
114,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NUSANTARA,5583468,ORANG,2016
113,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MANCANEGARA,867000,ORANG,2016
168,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NUSANTARA,3385860,ORANG,2017
167,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MANCANEGARA,578321,ORANG,2017
218,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NUSANTARA,1900000,ORANG,2018
249,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NUSANTARA,2485755,ORANG,2019
248,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MANCANEGARA,4506,ORANG,2019
303,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NUSANTARA,1270937,ORANG,2020
302,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MANCANEGARA,3089,ORANG,2020
357,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NUSANTARA,1836575,ORANG,2021
356,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MANCANEGARA,100,ORANG,2021
10,32,JAWA BARAT,3205,KABUPATEN GARUT,NUSANTARA,2248419,ORANG,2014
9,32,JAWA BARAT,3205,KABUPATEN GARUT,MANCANEGARA,6344,ORANG,2014
62,32,JAWA BARAT,3205,KABUPATEN GARUT,NUSANTARA,1874222,ORANG,2015
