country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
ID,Indonesia,West Java,,,ID-JB,,ChIJf0dSgjnmaC4Rfp2O_FSkGLw,2020-02-15,-6.0,-5.0,-11.0,3.0,5,1
ID,Indonesia,West Java,,,ID-JB,,ChIJf0dSgjnmaC4Rfp2O_FSkGLw,2020-02-16,-6.0,-5.0,-9.0,0.0,1,2
ID,Indonesia,West Java,,,ID-JB,,ChIJf0dSgjnmaC4Rfp2O_FSkGLw,2020-02-17,-4.0,-3.0,-6.0,3.0,2,1
ID,Indonesia,West Java,,,ID-JB,,ChIJf0dSgjnmaC4Rfp2O_FSkGLw,2020-02-18,-5.0,-3.0,-7.0,1.0,3,1
ID,Indonesia,West Java,,,ID-JB,,ChIJf0dSgjnmaC4Rfp2O_FSkGLw,2020-02-19,-1.0,-1.0,-1.0,3.0,2,0
ID,Indonesia,West Java,,,ID-JB,,ChIJf0dSgjnmaC4Rfp2O_FSkGLw,2020-02-20,-1.0,2.0,-2.0,6.0,2,1
ID,Indonesia,West Java,,,ID-JB,,ChIJf0dSgjnmaC4Rfp2O_FSkGLw,2020-02-21,1.0,1.0,1.0,2.0,5,0
ID,Indonesia,West Java,,,ID-JB,,ChIJf0dSgjnmaC4Rfp2O_FSkGLw,2020-02-22,0.0,0.0,-5.0,-1.0,5,0
ID,Indonesia,West Java,,,ID-JB,,ChIJf0dSgjnmaC4Rfp2O_FSkGLw,2020-02-23,-4.0,-3.0,-8.0,-6.0,4,2
ID,Indonesia,West Java,,,ID-JB,,ChIJf0dSgjnmaC4Rfp2O_FSkGLw,2020-02-24,-6.0,-5.0,-6.0,-1.0,2,2
ID,Indonesia,West Java,,,ID-JB,,ChIJf0dSgjnmaC4Rfp2O_FSkGLw,2020-02-25,-3.0,2.0,-4.0,-6.0,-7,3
ID,Indonesia,West Java,,,ID-JB,,ChIJf0dSgjnmaC4Rfp2O_FSkGLw,2020-02-26,-1.0,1.0,-3.0,2.0,2,0
ID,Indonesia,West Java,,,ID-JB,,ChIJf0dSgjnmaC4Rfp2O_FSkGLw,2020-02-27,2.0,7.0,0.0,5.0,4,0
ID,Indonesia,West Java,,,ID-JB,,ChIJf0dSgjnmaC4Rfp2O_FSkGLw,2020-02-28,0.0,4.0,-4.0,3.0,5,1
ID,Indonesia,West Java,,,ID-JB,,ChIJf0dSgjnmaC4Rfp2O_FSkGLw,2020-02-29,5.0,10.0,-4.0,8.0,7,-1
ID,Indonesia,West Java,,,ID-JB,,ChIJf0dSgjnmaC4Rfp2O_FSkGLw,2020-03-01,4.0,9.0,-6.0,7.0,4,0
ID,Indonesia,West Java,,,ID-JB,,ChIJf0dSgjnmaC4Rfp2O_FSkGLw,2020-03-02,9.0,18.0,6.0,8.0,4,-1
ID,Indonesia,West Java,,,ID-JB,,ChIJf0dSgjnmaC4Rfp2O_FSkGLw,2020-03-03,5.0,12.0,0.0,3.0,5,0
ID,Indonesia,West Java,,,ID-JB,,ChIJf0dSgjnmaC4Rfp2O_FSkGLw,2020-03-04,-1.0,3.0,-3.0,4.0,4,1
