daily,monthly,Tempat_Rekreasi,Pusat_Perbelanjaan_dan_Apotek,Taman,Stasiun_Transit,Perkantoran,Perumahan
2020-02-15,2020-02-01,-6.0,-5.0,-11.0,3.0,5,1
2020-02-16,2020-02-01,-6.0,-5.0,-9.0,0.0,1,2
2020-02-17,2020-02-01,-4.0,-3.0,-6.0,3.0,2,1
2020-02-18,2020-02-01,-5.0,-3.0,-7.0,1.0,3,1
2020-02-19,2020-02-01,-1.0,-1.0,-1.0,3.0,2,0
2020-02-20,2020-02-01,-1.0,2.0,-2.0,6.0,2,1
2020-02-21,2020-02-01,1.0,1.0,1.0,2.0,5,0
2020-02-22,2020-02-01,0.0,0.0,-5.0,-1.0,5,0
2020-02-23,2020-02-01,-4.0,-3.0,-8.0,-6.0,4,2
2020-02-24,2020-02-01,-6.0,-5.0,-6.0,-1.0,2,2
2020-02-25,2020-02-01,-3.0,2.0,-4.0,-6.0,-7,3
2020-02-26,2020-02-01,-1.0,1.0,-3.0,2.0,2,0
2020-02-27,2020-02-01,2.0,7.0,0.0,5.0,4,0
2020-02-28,2020-02-01,0.0,4.0,-4.0,3.0,5,1
2020-02-29,2020-02-01,5.0,10.0,-4.0,8.0,7,-1
2020-03-01,2020-03-01,4.0,9.0,-6.0,7.0,4,0
2020-03-02,2020-03-01,9.0,18.0,6.0,8.0,4,-1
2020-03-03,2020-03-01,5.0,12.0,0.0,3.0,5,0
2020-03-04,2020-03-01,-1.0,3.0,-3.0,4.0,4,1
2020-03-05,2020-03-01,7.0,14.0,4.0,9.0,4,0
2020-03-06,2020-03-01,4.0,5.0,2.0,4.0,6,1
2020-03-07,2020-03-01,8.0,12.0,5.0,6.0,6,-1
2020-03-08,2020-03-01,1.0,5.0,-2.0,2.0,4,1
2020-03-09,2020-03-01,4.0,7.0,4.0,5.0,4,1
2020-03-10,2020-03-01,3.0,6.0,2.0,4.0,4,1
2020-03-11,2020-03-01,6.0,8.0,6.0,6.0,3,1
2020-03-12,2020-03-01,3.0,5.0,3.0,6.0,3,1
2020-03-13,2020-03-01,6.0,6.0,5.0,3.0,5,1
2020-03-14,2020-03-01,-7.0,-1.0,-8.0,-5.0,6,2
2020-03-15,2020-03-01,-10.0,2.0,-12.0,-10.0,4,4
2020-03-16,2020-03-01,-11.0,-2.0,-9.0,-11.0,-12,6
2020-03-17,2020-03-01,-9.0,2.0,-10.0,-16.0,-17,7
2020-03-18,2020-03-01,-10.0,1.0,-9.0,-20.0,-19,9
2020-03-19,2020-03-01,-18.0,-7.0,-17.0,-26.0,-21,10
2020-03-20,2020-03-01,-23.0,-9.0,-21.0,-34.0,-22,13
2020-03-21,2020-03-01,-25.0,-5.0,-27.0,-37.0,-10,9
2020-03-22,2020-03-01,-36.0,-16.0,-39.0,-44.0,-7,11
2020-03-23,2020-03-01,-27.0,-13.0,-22.0,-41.0,-29,14
2020-03-24,2020-03-01,-31.0,-13.0,-26.0,-43.0,-33,15
2020-03-25,2020-03-01,-34.0,-15.0,-26.0,-50.0,-60,23
2020-03-26,2020-03-01,-32.0,-13.0,-27.0,-45.0,-34,16
2020-03-27,2020-03-01,-33.0,-12.0,-27.0,-50.0,-34,18
2020-03-28,2020-03-01,-42.0,-18.0,-42.0,-52.0,-22,15
2020-03-29,2020-03-01,-50.0,-30.0,-51.0,-55.0,-16,16
2020-03-30,2020-03-01,-37.0,-20.0,-32.0,-50.0,-36,17
